Route_Name,Route_link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),23:59,07h 13m,07:12,3.9,642.0,5 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Anjani Bus,A/C Seater / Sleeper (2+1),23:15,06h 15m,05:30,4.3,749.0,3 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Tirumala Xpress,A/C Sleeper (2+1),23:20,06h 54m,06:14,3.5,888.0,5 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Royal Varma Travels,A/C Sleeper (2+1),22:28,06h 49m,05:17,4.0,1200.0,5 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),23:50,07h 22m,07:12,3.9,905.0,2 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,LVP Travels,A/C Seater / Sleeper (2+1),22:40,05h 40m,04:20,3.2,1580.0,5 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),22:40,07h 10m,05:50,3.8,990.0,3 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,V Kaveri Travels,A/C Seater / Sleeper (2+1),22:55,07h 07m,06:02,3.3,840.0,11 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Atluri Travels,A/C Seater / Sleeper (2+1),23:00,05h 45m,04:45,4.1,1333.0,1 Seat available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),23:45,06h 30m,06:15,3.8,1200.0,2 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),23:35,06h 52m,06:27,3.4,863.0,2 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:20,07h 40m,06:00,3.2,568.0,3 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Eswar Travels,A/C Seater / Sleeper (2+1),22:55,06h 55m,05:50,3.0,790.0,3 Seats available
